plate_no,owner_name,owner_zip,on_production_date,next_exam_dt,txn_name
110-4533,私立文華幼稚園,104,198200,19910621,繳銷
110-4530,私立文華幼稚園,104,198200,19910620,繳銷
112-6660,立興幼稚園,104,198000,19900211,拒不過戶註銷
112-5789,立興幼稚園,104,198000,19900109,拒不過戶註銷
114-4850,榮恩幼稚園,104,198100,19900313,逾檢逕行註銷
115-0706,私立思高幼稚園,104,198100,19900307,繳銷
115-4546,小甜甜幼稚園,104,198200,19920723,一般報廢
114-1878,台北市私立聖華幼稚園,104,198200,19891117,繳銷
AX-9150,柏齡幼稚園,104,198300,19930918,一般報廢
118-3759,惠元幼稚園,104,198300,19910923,繳銷
124-0948,台北市私立銘傳幼稚園,104,198100,19890227,逾檢逕行註銷
AW-5713,新自立幼兒園,104,198803,19951027,拒不過戶註銷
EK-2876,婦聯空軍分會附設育航幼稚園,104,198806,19950630,繳銷
AO-4019,台北市松江幼稚園,104,198901,20000711,一般報廢
BJ-9286,台北市私立中華童苑托兒所,104,198904,19981012,繳銷
AJ-2566,台北市私立新生基督教會附設新生,104,198908,19980811,繳銷
AF-7305,台北市私立實踐設計管理學院附設,104,199206,20020716,繳銷轉報廢
AZ-9726,台北市私立實踐設計管理學院附設,104,199110,20011029,繳銷轉報廢
AF-0843,台北市私立育成幼兒園,104,199206,20020623,一般報廢
AF-1545,台北市私立正光幼稚園,104,199206,20010625,一般報廢
114-5191,榮恩幼稚園,104,198100,19890818,逾檢逕行註銷
115-6602,台北市私立聖華幼稚園,104,198200,19901117,逕行註銷
2907-QM,台北市私立新生幼兒園,104,200701,20170130,一般報廢
9166-QV,臺北市私立建國幼兒園,104,200807,20180714,環保回收轉報廢
6271-YE,臺北市私立科見幼兒園,104,201009,20200930,環保回收轉報廢
AKQ-6332,臺北市私立格爾幼兒園,105,201506,20250615,外站新領
ANY-7087,臺北市私立童欣幼兒園,105,201603,20250712,本區新領
ATN-1580,台北市私立正欣幼兒園,105,201701,20250810,本區新領
ATJ-6037,臺北市私立寶仁幼兒園,105,201704,20250519,外站新領
ATD-6712,台北市私立圓圓幼兒園,105,201705,20250616,本區新領
BEE-3391,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼稚園,105,201908,20250822,本區新領
BFS-2533,臺北市私立光華幼兒園,105,202008,20250904,外站新領
BGB-7581,臺北市私立民權幼兒園,105,202010,20251126,外區新領
BGE-0581,育達學校財團法人臺北市私立育達高級中等學校附設臺北市私立點點幼兒園,105,202102,20260226,外區新領
BGE-0582,育達學校財團法人臺北市私立育達高級中等學校附設臺北市私立點點幼兒園,105,202102,20260226,外區新領
BQK-5692,臺北市私立嘉勝幼兒園,105,202401,20250124,外站新領
BXE-2262,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園,105,202407,20250715,本區新領
BA-648,台北市私立道生幼稚園,105,198701,19970127,繳銷
BA-651,台北市私立道生幼稚園,105,198701,19940127,繳銷
BA-650,台北市私立道生幼稚園,105,198701,19970127,繳銷
BA-653,台北市私立道生幼稚園,105,198704,19980710,繳銷
BC-073,中華文化基金會台北兒童福利中心,105,198704,19980430,繳銷
BA-652,台北市私立道生幼稚園,105,198704,19970110,繳銷
BC-076,中華文化基金會台北兒童福利中心,105,199006,20000828,繳銷
AJ-8661,台北市私立頂好幼稚園,105,198500,19950421,一般報廢
BC-0730,光華幼稚園,105,198504,19931030,繳銷
103-3505,私立文化幼稚園,105,198504,19910501,逕行註銷
104-2729,台北市私立育欣幼稚園文１９２２,105,198507,19890718,拍賣註銷
107-4230,台北市私立頂好幼稚園,105,198500,19921024,一般報廢
104-5378,台北市私立松華幼稚園,105,198501,19900809,逕行註銷
BC-0729,光華幼稚園,105,198504,19931030,繳銷
109-2905,台北市私立欣華幼稚園,105,198601,19920706,繳銷
110-4480,幼華幼稚園不予受理檢驗及換照,105,198000,19910427,繳銷
110-4496,私立幼華幼稚園,105,198100,19910304,繳銷
AS-0136,龍華幼稚園,105,198400,19931124,繳銷
110-4498,私立幼華幼稚園,105,198100,19910904,繳銷
110-4508,台北市私立幼華幼稚園,105,198200,19910506,繳銷
110-4552,慶華幼稚園,105,198400,19920327,繳銷
110-4497,私立幼華幼稚園,105,198100,19910904,繳銷
110-4507,台北市私立幼華幼稚園,105,198200,19910506,繳銷
110-4547,龍華幼稚園,105,198400,19920524,繳銷
431-9973,台北市私立鷺鷥幼稚文２８０３５,105,198307,19891215,車輛失竊註銷
112-2933,民權幼稚園,105,198000,19880619,繳銷
115-4395,曙英幼稚園,105,198200,19900903,逾檢逕行註銷
AO-4613,欣才幼稚園,105,198200,19940112,逾檢逕行註銷
117-3489,私立心安幼稚園,105,198300,19911028,繳銷
117-2718,元元幼稚園,105,198300,19921203,逕行註銷
117-8458,大千幼稚園,105,198307,19900120,逕行註銷
117-9083,私立民權幼稚園,105,198300,19910422,繳銷
118-6646,私立華翠幼稚園,105,198401,19910721,繳銷
AQ-9213,私立文化幼稚園,105,198400,19930726,逾檢註銷
AY-6338,台北市私立三才幼稚園,105,198400,19950430,一般報廢
120-4402,台北市私立道生幼稚園,105,198606,19930616,繳銷
123-8647,民權幼稚園,105,197900,19860718,逕行註銷
124-4152,私立育秀幼稚園,105,198400,19870728,繳銷
120-5883,台北市私立道生幼稚園,105,198606,19930627,繳銷
AY-6001,台北市私立民權幼稚園,105,198607,19960725,繳銷
125-4322,方元幼稚園,105,198408,19920907,逕行註銷
112-8188,私立民生幼稚園,105,198000,19871111,繳銷
AO-7842,台北市私立昇揚幼稚園,105,198701,19940119,逾檢註銷
BH-1399,台北市私立海華幼稚園,105,198707,19950123,一般報廢
BF-5309,台北市私立白鹿洞幼稚園,105,198708,19940818,車牌遺失繳銷
130-6452,台北市私立白鹿洞幼稚園,105,198708,19930818,繳銷
BF-8187,開民幼稚園,105,198708,19960226,繳銷
136-2951,宗周幼稚園,105,198100,19890617,繳銷
EK-2875,台北市私立婦聯空軍分會附設婦聯,105,198806,19950630,繳銷
BJ-5782,台北市私立方方托兒所,105,198808,19960302,一般報廢
BL-1827,私立天琪幼稚園,105,198809,19970316,逾檢註銷
BH-6663,曙英幼稚園,105,198812,19980726,主體不存在逕行註銷
AQ-0269,私立正安幼稚園,105,198902,19980221,繳銷
AX-4619,私立曙英幼稚園,105,198903,19980414,主體不存在逕行註銷
AY-2853,台北市私立伯松托兒所,105,198904,19990508,一般報廢
AW-3293,台北市私立慶豐紀念糼稚園,105,198905,19981116,一般報廢
EQ-0983,台北市私立民族幼稚園,105,198909,19990318,一般報廢
BC-8661,台北市私立民權幼稚園,105,199003,19980308,繳銷
BC-2905,台北市私立英童托兒所,105,199003,20000320,一般報廢
AO-4381,北市中華基督教青年會永吉幼兒園,105,199009,19970313,一般報廢
BG-0861,台北市私立民族幼稚園,105,199011,20001114,一般報廢
BH-7046,台北市私立北大幼稚園,105,199008,20001119,繳銷
AT-0981,文華幼稚園,105,199103,19990321,一般報廢
AT-0985,光華幼稚園,105,199103,20010321,繳銷
AU-2612,台北市私立道生幼稚園,105,199106,20010206,繳銷
AU-2615,台北市私立道生幼稚園,105,199106,20010206,繳銷
AU-2611,台北市私立道生幼稚園,105,199108,20010806,繳銷
AU-2613,台北市私立道生幼稚園,105,199108,20020206,繳銷
AU-2617,台北市私立道生幼稚園,105,199106,20010815,繳銷
AU-2616,台北市私立道生幼稚園,105,199106,20010215,繳銷
AK-4767,北市中華基督教青年會永吉幼兒園,105,199211,20000601,一般報廢
116-2772,台北市私立蓓幼幼稚園,105,198200,19930626,繳銷
AV-8300,台北市私立英童托兒所,105,199304,20020428,停駛轉報廢
BM-9131,台北市私立惠元幼稚園,105,199309,20040415,繳銷
BV-2482,台北市私立欣華幼稚園,105,199407,20040905,繳銷
CJ-7803,北市中華基督教青年會永吉幼兒園,105,199605,20070515,繳銷
CS-4096,台北市私立方元幼兒園,105,199703,20070630,一般報廢
CP-9013,台北市私立童欣幼兒園,105,199702,20070303,一般報廢
CR-6902,台北市私立保仁托兒所,105,199705,20070530,一般報廢
CX-8418,台北市私立凱思托兒所,105,199804,20080526,一般報廢
2B-7892,台北市私立光華幼稚園,105,200012,20100105,逕行註銷執行
2B-7891,台北市私立光華幼稚園,105,200012,20100105,註銷轉報廢
2906-R8,臺北市私立嘉勝幼兒園,105,201208,20220830,繳銷轉報廢
AKQ-6350,臺北市私立格登幼兒園,106,201506,20250615,外站新領
APK-5881,臺北市私立信望愛幼兒園,106,201604,20250523,外站新領
ATH-6387,台北市私立三暉幼兒園,106,201710,20250427,本區新領
BBF-2713,財團法人臺北市私立蒙特梭利幼兒園,106,201905,20250514,本區新領
BFX-0696,臺北市私立格林菲爾幼兒園,106,202005,20250529,本區新領
BKN-0278,臺北市私立長青蒙特梭利幼兒園,106,202108,20250915,外站新領
BKP-6285,臺北市私立何嘉仁延吉幼兒園,106,202210,20251025,外站新領
BKP-6287,臺北市私立何嘉仁延吉幼兒園,106,202210,20251025,外站新領
BPM-1561,臺北市私立新生寶貝幼兒園,106,202302,20260224,外站新領
BTQ-7190,臺北市私立華菂幼兒園,106,202305,20250523,本區新領
BTV-8879,臺北市私立菁英幼兒園,106,202309,20250919,外站新領
BWS-1283,台北市私立勁寶兒幼兒園,106,202402,20260227,本區新領
BQK-9151,臺北市私立何嘉仁延吉幼兒園,106,202404,20250424,外站新領
BYA-9225,臺北市私立巧可麗國際幼兒園,106,202407,20250726,外站新領
276-4167,私立衛理幼稚園不予檢驗及換照,106,197200,19900707,繳銷
BA-495,私立新民小學,106,198407,19950825,繳銷
BA-645,台北市私立華菂幼稚園,106,198801,19980215,繳銷
BA-642,台北市私立華菂幼稚園,106,198801,19980815,繳銷
BA-643,台北市私立華菂幼稚園,106,198801,19980215,繳銷
BA-649,台北市私立華菂幼稚園,106,199004,20001213,繳銷
BA-646,台北市私立華菂幼稚園,106,199004,20001213,繳銷
BA-647,台北市私立華菂幼稚園,106,199004,20001213,繳銷
AP-6397,台北市私立長城幼稚園,106,198503,19950314,警政廢棄
103-1135,信望愛幼兒園,106,197900,19860410,繳銷
109-9823,智信幼稚園,106,198602,19910222,警政廢棄
112-3387,私立衛理幼稚園,106,198100,19900723,繳銷
114-2766,純田汽車材料商行,106,198100,19920120,繳銷
114-7767,台北市私立新民小學不予檢驗及換,106,197700,19890630,逾檢逕行註銷
115-1701,私立寶血幼稚園,106,198200,19910622,繳銷
115-6192,中國家庭計劃協會附設現代幼稚園,106,198100,19870918,拒不過戶註銷
AM-1317,沛德幼稚園,106,198200,19930628,一般報廢
116-4371,安培幼稚園,106,198200,19900630,逾檢逕行註銷
116-3053,台北市私立基督教救世軍托兒所,106,198200,19900520,逾檢逕行註銷
116-2109,今日寶寶托兒所,106,198200,19900218,逾檢逕行註銷
116-5990,四維幼稚園,106,198302,19900811,繳銷
117-1393,長青幼稚園,106,198200,19900908,繳銷
AX-8326,長青幼稚園,106,198300,19970505,一般報廢
116-3889,私立華愛幼稚園,106,198300,19920629,繳銷
121-9158,和平幼稚園,106,198400,19930517,一般報廢
122-3379,光榮幼稚園,106,198400,19920717,逕行註銷
AJ-8629,光榮幼稚園,106,198400,19950717,停駛轉報廢
122-3435,光榮幼稚園,106,198400,19920717,逕行註銷
123-7019,私立信望愛幼兒園,106,198300,19920911,繳銷
124-0942,光榮托兒所,106,198200,19890107,逾檢逕行註銷
124-0941,光榮托兒所,106,198200,19890107,逾檢逕行註銷
AU-2638,台北市私立華菂幼稚園,106,198606,19940616,繳銷
120-4396,台北市私立華菂幼稚園,106,198606,19930616,繳銷
124-0946,光榮托兒所,106,198200,19890228,逾檢逕行註銷
124-0943,光榮托兒所,106,198200,19900107,逾檢逕行註銷
AU-2639,台北市私立華菂幼稚園,106,198606,19931227,繳銷
EK-5416,台北市私立幼強幼稚園,106,198803,19980315,主體不存在逕行註銷
111-8370,台北市私立及幼幼稚園,106,198305,19900820,逕行註銷
AQ-6826,立人幼稚園,106,198608,19960229,一般報廢
127-7578,私立信望愛幼兒園,106,198702,19940820,逕行註銷
AT-0896,台北市私立立人幼稚園,106,198703,19950910,一般報廢
AS-5777,台北市私立台寧幼稚園,106,198703,19970319,一般報廢
BR-5547,台北市私立育正幼稚園,106,198708,19950225,一般報廢
BH-8482,台北市私立培真幼稚園,106,198708,19950824,一般報廢
BF-8648,台北市私立信誼幼稚園,106,198708,19950909,一般報廢
AO-5419,台北市私立大陳幼稚園,106,198800,19970714,一般報廢
BC-4385,台北市私立華菂幼稚園,106,198801,19970119,繳銷
BL-0538,長城幼稚園,106,198803,19970402,一般報廢
137-5139,私立信望愛幼兒園,106,198803,19940610,逕行註銷
139-3111,台北市私立巨人幼稚園,106,198807,19910823,環保廢棄
EQ-0311,世界紅卍字會台灣省分會附設慈幼,106,198808,19990224,一般報廢
EQ-0320,世界紅卍字會台灣省分會附設慈幼,106,198808,19980824,一般報廢
AM-2532,台北市私立成長幼稚園,106,198809,19950323,一般報廢
AX-4350,台北市私立長青幼稚園,106,198809,19980921,一般報廢
BG-7687,私立新民小學,106,198809,19980923,一般報廢
AZ-5703,台北市私立立人幼稚園,106,198902,20010222,一般報廢
BH-4950,台北市私立育秀幼稚園,106,198907,19950803,一般報廢
BC-5719,台北市私立健康幼稚園,106,198908,19990822,主體不存在逕行註銷
AU-1638,私立立人幼園,106,199003,19970930,繳銷
BC-8528,台北市私立四維幼稚園,106,199006,19981211,一般報廢
BH-7906,蓉蓉幼稚園,106,199103,19990919,繳銷
AU-2637,台北市私立華菂幼稚園,106,199107,20010116,繳銷
AX-8217,台北市私立新民國民小學,106,199107,20010717,一般報廢
AU-2633,台北市私立華菂幼稚園,106,199107,20020116,繳銷
AW-9085,台北市私立立人幼稚園,106,199108,20010827,繳銷
AW-6476,台北市私立寶血幼稚園,106,199108,20010826,一般報廢
AZ-5647,台北市私立富蘭托兒所,106,199109,19971002,主體不存在逕行註銷
AH-1538,台北市私立立人幼稚園,106,199209,20020903,車牌遺失繳銷
EB-7100,台北市私立啄木鳥托兒所,106,199208,20010915,一般報廢
112-3383,私立衛理幼稚園,106,198000,19900104,逾檢逕行註銷
115-9781,私立信望愛幼兒園,106,198200,19901005,逾檢逕行註銷
116-4370,私立安培幼稚園,106,198200,19890909,逾檢逕行註銷
124-0945,光榮幼稚園,106,198200,19890723,逕行註銷
BV-6623,台北市私立育正幼稚園,106,199409,20040926,繳銷
BX-8549,台北市私立侑兒托兒所,106,199411,19981130,主體不存在逕行註銷
CQ-0103,台北市私立大陳幼稚園,106,199701,20060310,繳銷
6760-QG,台北市私立信望愛幼兒園,106,200701,20160731,繳銷轉報廢
1905-QK,臺北市私立恩寶園幼兒園,106,200704,20141108,逾檢註銷
ANA-7029,北部台灣基督長老教會艋舺教會附設台北市私立愛心幼兒園,108,201507,20250805,本區新領
AXE-6097,台北市私立光仁國民小學附設幼兒園,108,201805,20250628,本區新領
BKT-7910,臺北市私立光仁國民小學附設幼兒園,108,202106,20250607,本區新領
BKK-7061,臺北市私立何嘉仁中華幼兒園,108,202202,20250307,外站新領
BQL-2890,臺北市私立幼佳幼兒園,108,202208,20250809,外站新領
BQU-9690,臺北市私立大理幼兒園,108,202211,20251111,本區新領
BXF-1875,臺北市私立光仁國民小學附設幼兒園,108,202408,20250816,本區新領
BA-756,台北市私立華羣幼稚園,108,198703,19930525,繳銷
BA-751,台北市私立華羣幼稚園,108,198704,19951125,繳銷
BA-755,台北市私立華羣幼稚園,108,198704,19940525,繳銷
BA-750,台北市私立華羣幼稚園,108,198704,19951125,繳銷
BA-753,台北市私立華羣幼稚園,108,198703,20000525,逕行註銷執行
BA-749,台北市私立華羣幼稚園,108,198703,19941125,繳銷
BA-752,台北市私立華羣幼稚園,108,198703,19940525,繳銷
BA-758,台北市私立華羣幼稚園,108,199004,20000613,逕行註銷執行
BA-759,台北市私立華羣幼稚園,108,199004,20000613,逕行註銷執行
BA-757,台北市私立華羣幼稚園,108,199004,20000613,逕行註銷執行
AP-3005,台北市私立育光幼稚園,108,198502,19951022,繳銷
101-5939,私立幼佳幼兒園,108,198501,19920815,一般報廢
109-8493,乖乖幼兒園,108,198600,19930205,一般報廢
112-1345,德明幼稚園不予受理檢驗及換照,108,197900,19910908,逾檢逕行註銷
115-7931,慈愛幼稚園,108,198200,19890623,繳銷
116-7018,德明幼稚園,108,198200,19890825,逾檢逕行註銷
116-3596,台北市私立華城幼稚園,108,198200,19910610,繳銷
116-3606,台北市私立華城幼稚園,108,198200,19920614,繳銷
116-3611,私立華城幼稚園,108,198400,19930517,繳銷
116-3590,私立華城幼稚園,108,198200,19911229,繳銷
116-3593,私立華城幼稚園,108,198200,19911229,繳銷
116-3601,台北市私立華城幼稚園,108,198200,19911221,繳銷
116-3592,私立華城幼稚園,108,198200,19901229,繳銷
116-3607,台北市私立華城幼稚園,108,198200,19901223,繳銷
AX-0759,私立華城幼稚園,108,198400,19931117,繳銷
116-3605,台北市私立華城幼稚園,108,198200,19910628,繳銷
116-3609,台北市私立華城幼稚園,108,198200,19910623,繳銷
116-3608,台北市私立華城幼稚園,108,198200,19910623,繳銷
116-3595,私立華城幼稚園,108,198200,19910629,繳銷
116-3610,私立華城幼稚園,108,198400,19930517,繳銷
116-3587,私立華城幼稚園,108,198200,19920629,繳銷
116-3597,台北市私立華城幼稚園,108,198200,19911210,繳銷
117-2379,德明幼稚園,108,198300,19900727,逕行註銷
118-8095,私立德明幼稚園,108,198300,19920520,逕行註銷
120-3365,台北市私立種德幼稚園,108,198605,19930605,繳銷
120-6916,私立華人幼稚園,108,198403,19880703,逕行註銷
AS-2769,梅花幼稚園,108,198400,19930810,主體不存在逕行註銷
125-7476,台北市私立大理幼兒園,108,198609,19930320,一般報廢
125-4398,私立德明幼稚園,108,198406,19920814,一般報廢
BJ-0096,台北市私立育仁幼兒園,108,198804,19991109,一般報廢
AZ-4628,台北市私立啟明幼稚園,108,198806,19960610,一般報廢
BJ-0458,台北市私立大森幼兒園,108,198901,19950126,一般報廢
CD-7727,台北市私立華江幼稚園,108,198906,19980710,一般報廢
BE-5880,萬大幼稚園,108,199004,19981017,主體不存在逕行註銷
AW-7951,台北市立龍山托兒所,108,199107,19990831,一般報廢
AW-7949,台北市立雙園托兒所,108,199107,19990831,一般報廢
119-7415,中國兒童福利社附設兒童樂園幼稚,108,198400,19920820,逕行註銷
124-9826,台北市私立華江幼稚園,108,198200,19890721,逾檢逕行註銷
AR-3472,台北市私立華城幼稚園,108,199301,20000223,主體不存在逕行註銷
AR-6561,台北市私立大理幼兒園,108,199303,20040308,一般報廢
CO-2187,台北市私立英才幼兒園,108,199609,20061223,一般報廢
CK-9340,台北市私立啟明托兒所,108,199606,20060701,繳銷
BJ-1349,臺北市私立育光幼稚園,108,198705,19941208,繳銷-移入
116-3588,私立華城幼稚園,108,198200,19910629,繳銷
ATD-7105,財團法人中華文化社會福利事業基金會台北皃童福利中心附設臺北市私立實驗幼兒園,110,201704,20250619,本區新領
AWZ-7165,財團法人中華文化社會福利事業基金會台北皃童福利中心附設臺北市私立實驗幼兒園,110,201801,20250719,本區新領
AXS-6710,臺北市私立傑生幼兒園,110,202009,20250910,本區新領
BKU-8361,財團法人第一社會福利基金會附設臺北市私立第一兒童發展中心,110,202106,20250720,本區新領
BKV-9673,財團法人中華文化社會福利事業基金會台北兒童福利中心,110,202110,20251029,本區新領
BVT-1601,財團法人第一社會福利基金會附設臺北市私立第一兒童發展中心,110,202310,20251005,本區新領
BC-075,中華文化基金會台北兒童福利中心,110,198907,20000330,繳銷
BH-8011,曙英幼稚園,110,199007,19990228,主體不存在逕行註銷
AO-2046,財團法人第一社會福利基金會,110,199008,19990304,一般報廢
AQ-7027,台北市立松山托兒所,110,199011,19981228,繳銷
AU-7045,財團法人第一社會福利基金會,110,199105,19981214,一般報廢
AT-3072,財團法人第一社會福利基金會,110,199105,20000614,一般報廢
AE-4547,台北市私立君格幼兒園,110,199204,20020527,一般報廢
AE-8048,台北市私立吉美托兒所,110,199206,20000611,一般報廢
AG-3807,台北市私立宗周幼稚園,110,199207,19990206,一般報廢
EV-3823,宗周幼稚園,110,199508,20010831,環保廢棄轉報廢
CM-2738,志華幼稚園,110,199608,20060831,繳銷
BE-487,中華文化基金會台北兒童福利中心,110,199608,20061118,繳銷
DA-3645,台北市私立龍之堡托兒所,110,199707,20020919,主體不存在逕行註銷
BE-506,中華文化基金會台北兒童福利中心,110,199710,20071128,繳銷
DP-7991,清心幼兒園,110,199905,20090531,一般報廢
222-WB,財團法人中華文化社會福利基金會,110,200707,20171019,繳銷
AKG-5190,臺北市私立好來幼兒園,111,201501,20250302,繳銷
AKG-9930,臺北市私立十大幼兒園,111,201503,20250423,本區新領
AMY-6297,臺北市私立博如日本幼兒園,111,201506,20250709,外站新領
ANZ-3375,臺北市私立熊寶貝幼兒園,111,201511,20250610,本區新領
ARF-5390,臺北市私立博如日本幼兒園,111,201604,20250504,外站新領
AQX-6627,台北市私立太和蒙特梭利幼兒園,111,201609,20250923,外站新領
ARG-2835,臺北市私立浩恩幼兒園,111,201609,20241017,外站新領
3697-VF,臺北市私立凱斯幼兒園,111,200904,20190518,一般報廢
ATC-0190,臺北市私立好來幼兒園,111,201611,20250622,繳銷
ATD-2531,台北市私立道思幼兒園,111,201705,20250531,外站新領
ATJ-9190,臺北市私立好來幼兒園,111,201706,20250626,繳銷
ATK-2756,臺北市私立熊寶貝幼兒園,111,201706,20250719,本區新領
ATG-5355,臺北市私立師達幼兒園,111,201707,20250821,外站新領
AXB-1871,臺北市私立有緣蒙特梭利幼兒園,111,201801,20250715,本區新領
AWD-5351,臺北市私立泰安幼兒園,111,201805,20250522,本區新領
AWD-7237,臺北市私立微笑音符幼兒園,111,201806,20250607,本區新領
AXE-2078,臺北市私立道思幼兒園,111,201806,20250619,外站新領
BBD-8363,臺北市私立凱斯幼兒園,111,201903,20250926,外站新領
BFQ-7868,臺北市私立華育幼兒園,111,202006,20250615,本區新領
BFS-2213,臺北市私立民華幼兒園,111,202008,20250831,本區新領
BFU-6770,臺北市私立德行幼兒園,111,202101,20260114,外站新領
BFR-2102,臺北市私立何嘉仁幼兒園,111,202102,20260226,外站新領
BKT-5203,財團法人台灣聖公會附設臺北市私立牧愛堂幼兒園,111,202105,20250527,外站新領
BKJ-6705,臺北市私立心愛幼兒園,111,202106,20250621,本區新領
BKJ-6706,臺北市私立心愛幼兒園,111,202106,20250621,本區新領
